# source: https://www.fantasypros.com/nba/projections/avg-overall.php
# fetched: 2026-09-25T21:00:32+00:00
# page: NBA Fantasy Basketball Overall 2026-27 Average Projections | FantasyPros
# note: FantasyPros consensus per-game projections, 266 players;
#       no FGA/FTA published, so FG%/FT% z-scores are unweighted.
rank,name,team,pos,inj,inj_note,g,mpg,pts,three,reb,ast,stl,blk,fg_pct,ft_pct,to
112,Isaiah Hartenstein,OKC,C,,,71,25.1,9.7,0.0,9.0,3.3,0.9,0.8,0.607,0.644,1.6
113,CJ McCollum,ATL,"PG,SG",,,75,30.9,18.9,2.6,3.3,3.9,0.8,0.5,0.452,0.754,1.8
114,Collin Gillespie,PHO,"PG,SG",,,75,22.4,9.6,2.2,3.3,3.7,1.1,0.2,0.42,0.871,1.1
115,Robert Williams III,POR,C,,,68,16.7,6.1,0.1,6.5,1.0,0.6,1.4,0.687,0.655,0.8
116,Kel'el Ware,MIL,C,,,75,22.2,9.8,1.0,7.7,0.7,0.7,1.0,0.532,0.727,0.8
117,Mitchell Robinson,BOS,C,,,69,22.7,6.5,0.0,9.8,0.9,1.0,1.4,0.703,0.409,0.8
118,Ryan Rollins,MIL,"PG,SG",,,73,26.2,13.1,1.9,3.5,4.3,1.2,0.4,0.466,0.798,2.1
119,Neemias Queta,BOS,C,,,75,21.8,8.9,0.0,7.0,1.3,0.6,1.0,0.647,0.713,0.9
120,Saddiq Bey,NOR,"SF,PF",,,74,29.3,15.6,1.8,5.0,2.2,0.8,0.1,0.454,0.84,0.9
121,Cedric Coward,MEM,"SF,SG",,,73,27.4,13.9,1.5,5.8,2.8,0.7,0.4,0.481,0.854,1.7
122,Nic Claxton,CHI,C,,,73,27.6,11.8,0.1,6.8,3.2,0.7,1.3,0.592,0.591,1.3
123,Devin Vassell,SAS,"SG,SF",,,73,28.0,13.2,2.1,3.6,2.5,0.9,0.4,0.446,0.807,1.0
124,Dillon Brooks,PHO,"PF,SF,SG",,,73,31.1,17.4,2.3,3.5,1.8,1.0,0.2,0.437,0.84,1.5
125,Aaron Nesmith,IND,"PF,SF,SG",,,71,27.8,12.5,2.0,4.1,1.5,0.7,0.5,0.467,0.855,1.0
126,Ryan Kalkbrenner,CHA,C,,,73,19.5,6.4,0.0,4.7,0.7,0.4,1.3,0.732,0.718,0.8
127,Nikola Vucevic,ORL,C,,,75,22.6,11.4,1.0,6.7,2.2,0.6,0.5,0.501,0.814,1.0
128,Ja Morant,POR,PG,OUT,,71,29.0,20.4,1.4,3.8,6.6,1.0,0.3,0.437,0.842,3.5
129,Kyshawn George,WAS,"PF,SF,SG",OUT,,72,28.4,12.1,1.8,4.6,3.6,1.0,0.8,0.425,0.788,2.1
130,Christian Braun,DEN,"PF,SF,SG",,,71,30.5,11.9,1.0,4.5,2.3,0.8,0.4,0.536,0.795,0.9
131,Al Horford,GSW,"PF,C",,,67,23.3,7.6,1.5,5.1,2.1,0.6,0.8,0.436,0.875,0.8
132,Andrew Nembhard,IND,"PG,SG",,,74,32.2,13.2,1.3,3.1,6.2,1.1,0.1,0.462,0.81,2.0
133,Cason Wallace,OKC,"PG,SF,SG",,,77,24.2,7.3,1.1,2.7,2.2,1.7,0.3,0.44,0.804,0.8
134,Reed Sheppard,HOU,"PG,SG",,,77,21.3,10.2,2.1,2.3,2.6,1.2,0.6,0.423,0.802,1.2
135,Derik Queen,NOR,"C,PF",,,77,24.8,11.2,0.3,6.8,3.5,1.0,0.9,0.472,0.798,2.3
136,Stephon Castle,SAS,"PG,SG",,,75,31.6,17.2,1.2,5.1,6.7,1.1,0.3,0.457,0.737,3.0
137,Tre Jones,CHI,"PG,SG",,,73,23.3,10.9,0.5,2.5,4.4,1.0,0.1,0.55,0.841,1.1
138,Collin Sexton,LAL,"PG,SG",,,74,25.5,16.5,1.5,2.4,3.7,1.0,0.2,0.492,0.86,2.1
139,DeMar DeRozan,DEN,"PF,SF",,,77,29.7,16.7,0.7,3.1,3.6,0.7,0.3,0.492,0.86,1.1
140,Kevin Porter Jr.,MIL,"PG,SG",OUT,,72,22.4,11.2,0.8,3.5,4.5,1.3,0.3,0.451,0.841,1.9
141,Max Christie,DAL,"SG,SF",,,77,30.9,12.1,2.2,3.4,2.1,0.7,0.4,0.44,0.885,1.2
142,Aaron Gordon,DEN,"PF,C",,,72,29.4,15.0,1.5,5.4,2.9,0.5,0.3,0.515,0.79,1.3
143,Toumani Camara,POR,"PF,SF",,,76,31.0,11.1,1.9,5.2,2.1,1.2,0.5,0.449,0.722,1.5
144,Julius Randle,BKN,PF,,,75,33.5,19.5,1.4,6.8,4.6,0.7,0.2,0.464,0.801,2.9
145,P.J. Washington Jr.,DAL,"C,PF,SF",,,71,30.3,13.4,1.4,6.5,1.9,0.9,0.9,0.45,0.701,1.6
146,Jrue Holiday,POR,"PG,SG",,,73,26.1,10.8,1.6,3.9,3.9,0.9,0.3,0.449,0.858,1.7
147,Egor Demin,BKN,"PG,SG",OUT,,74,28.8,11.3,2.6,3.5,3.7,0.9,0.4,0.4,0.831,1.8
148,Keaton Wagler,LAC,"PG,SG",,,74,27.2,14.2,1.5,3.0,4.2,1.2,0.2,0.459,0.817,2.2
149,Jerami Grant,MEM,"SF,PF",,,73,30.0,16.5,2.2,3.1,2.1,0.7,0.6,0.437,0.824,1.7
150,Quentin Grimes,LAL,"SG,SF",,,76,29.1,13.8,1.9,3.9,3.2,0.9,0.3,0.467,0.802,1.9
151,Sam Hauser,BOS,"SF,PF",,,77,24.2,9.3,2.6,3.7,1.2,0.5,0.3,0.428,0.888,0.4
152,Wendell Carter Jr.,ORL,C,,,75,26.9,10.2,0.8,7.0,1.9,0.7,0.6,0.5,0.761,1.1
153,Day'Ron Sharpe,BKN,C,OUT,,73,20.5,8.8,0.2,6.9,2.1,0.9,0.8,0.563,0.698,1.5
154,Scotty Pippen Jr.,MEM,"PG,SG",OUT,,70,23.2,10.6,1.2,2.9,4.5,1.5,0.3,0.464,0.747,2.1
155,Morez Johnson Jr.,DAL,"C,PF",,,74,25.5,10.7,0.4,5.6,1.6,0.7,1.0,0.517,0.738,1.0
156,Isaiah Joe,DET,"SF,SG",,,75,21.6,10.2,2.4,2.6,1.4,0.7,0.2,0.447,0.879,0.6
157,Grayson Allen,CHA,"PG,SF,SG",,,70,23.1,11.9,2.5,2.6,2.5,0.9,0.2,0.412,0.847,1.2
